policy,metric,value,random_value,delta_vs_random,percent_vs_random
lru,cpu0_ipc,1.6060153990038497,1.5945601061400265,0.011455292863823185,0.718398310588189
lru,cpu1_ipc,0.4240783435195859,0.4473747743436936,-0.023296430824107706,-5.207363526091512
lru,aggregate_ipc,2.0300937425234356,2.04193488048372,-0.01184113796028452,-0.5798979229680153
lru,sum_core_ipc,2.0300937425234356,2.04193488048372,-0.01184113796028452,-0.5798979229680153
lru,cpu0_l1_demand_mpki,10.431641376997788,10.432516212316246,-0.0008748353184575564,-0.008385659802998992
lru,cpu1_l1_demand_mpki,37.70313137089474,36.57649029240676,1.1266410784879781,3.0802328749455428
lru,cpu0_l2_demand_mpki,10.418233967955208,10.41901248467361,-0.0007785167184017894,-0.007472077795731497
lru,cpu1_l2_demand_mpki,6.447890408429648,6.253600694250315,0.19428971417933294,3.106845538730459
lru,aggregate_l1_demand_misses,150540,151718,-1178,-0.7764405014566499
lru,aggregate_l2_demand_misses,89500,89248,252,0.2823592685550377
lru,aggregate_iew_stall_events,407872,440786,-32914,-7.467115561746517
lru,slc_hit_rate,0.016211047850840977,0.025659293684372055,-0.009448245833531078,-36.82192483453115
lru,sf_hit_rate,0.01449432830631492,0.013240677817480326,0.0012536504888345946,9.46817456112048
lru,slc_hits,1492.0,2341.0,-849.0,-36.26655275523281
lru,slc_misses,90544.0,88893.0,1651.0,1.8572891003791077
lru,sf_hits,1334.0,1208.0,126.0,10.43046357615894
lru,sf_misses,90702.0,90026.0,676.0,0.7508941861240086
lru,replacement_attempts,74091.0,73041.0,1050.0,1.43754877397626
lru,total_slc_victims,74091.0,73041.0,1050.0,1.43754877397626
lru,clean_slc_victims,8767.0,8368.0,399.0,4.7681644359464626
lru,dirty_slc_victims,65324.0,64673.0,651.0,1.006602446152181
lru,sf_victims,88228.0,88084.0,144.0,0.16348031424549295
lru,directed_snoops,0.0,0.0,0.0,0.0
lru,broadcast_snoops,0.0,0.0,0.0,0.0
lru,victim_rate_per_completed_lookup,0.8050219479334173,0.8005896924392222,0.004432255494195125,0.5536238520247506
lru,victims_per_ki,7.937956849553267,7.780082324585193,0.15787452496807397,2.0292140671723713
lru,hnf_service_stalls,247898.0,247732.0,166.0,0.06700789562914763
lru,hnf_stale_token_replays,171.0,101.0,70.0,69.3069306930693
lru,hnf_resource_conflict_replays,0.0,0.0,0.0,0.0
lru,hnf_seq_conflict_replays,21954.0,19545.0,2409.0,12.325402916346892
lru,hnf_victim_buffer_full_replays,0.0,0.0,0.0,0.0
lru,hnf_cancelled_replays,0.0,0.0,0.0,0.0
lru,hnf_total_replay_responses,22125.0,19646.0,2479.0,12.618344701211443
lru,hnf_replays_per_ki,2.370426843967095,2.0926260230391245,0.27780082092797054,13.275225380429893
lru,hnf_replays_per_1000_completed_lookups,240.39506280151244,215.33638775018085,25.05867505133159,11.636990530556787
lru,hnf_request_full_cycles,33.0,19.0,14.0,73.68421052631578
lru,hnf_response_full_cycles,0.0,0.0,0.0,0.0
lru,hnf_no_credit,0.0,2.0,-2.0,-100.0
lru,hnf_set_lock_conflicts,0.0,0.0,0.0,0.0
lru,hnf_service_stalls_per_ki,26.55928017020361,26.38758169294148,0.1716984772621295,0.6506790931434911
lru,hnf_service_stalls_per_1000_completed_lookups,2693.4895041070886,2715.347348576189,-21.8578444691002,-0.8049741584833157
lru,hnf_no_credit_per_1000_completed_lookups,0.0,0.021921652015695903,-0.021921652015695903,-100.0
lru,accepted_to_visible_latency_cycles,6.953469365422954,6.985183593844747,-0.03171422842179261,-0.4540214010944362
lru,noc_total_traffic_score,7078185,7028869,49316,0.7016207017089093
lru,noc_total_stall_cycles,1740,1789,-49,-2.7389603130240356
lru,memory_reads,88176,87090,1086,1.2469858766792974
lru,memory_writes,64825,64159,666,1.0380461042098537
lru,host_seconds_from_stats,558.48,553.93,4.550000000000068,0.821403426425734
lru,host_simulated_inst_rate,16713.0,16948.0,-235.0,-1.386594288411612
random,cpu0_ipc,1.5945601061400265,1.5945601061400265,0.0,0.0
random,cpu1_ipc,0.4473747743436936,0.4473747743436936,0.0,0.0
