subPhaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
130,437,286,11,2b6e8,0,2,28aa8,0,2,a37e0,0,2,f37c8,0,1,a37b2,5,1
131,476,346,10,3bf66,0,2,f3a26,0,1,4bf72,5,1,f3a44,0,1,4bf78,0,1
132,426,285,9,2b6e8,0,2,a37e0,0,2,28aa8,0,2,a37b2,5,1,f37c8,0,1
133,521,364,11,303c2,0,2,2b6e8,0,1,4bf72,5,1,4bf78,0,1,f37a0,0,1
134,401,284,11,28aa8,0,2,436f0,0,1,a37b2,5,1,f3a26,0,1,f3802,0,1
135,494,343,16,f4ba0,0,3,2b6e8,0,2,44046,0,1,f37a0,0,1,28aa8,0,1
136,417,305,7,3bf66,0,2,28aa8,0,1,a37e0,0,1,436f0,0,1,f3a26,0,1
137,469,313,10,28aa8,0,2,2b6e8,0,2,4bf78,0,1,4bf72,5,1,f37c8,0,1
138,461,336,7,a37e0,0,1,f22be,0,1,f21d6,0,1,436f0,0,1,f3a26,0,1
139,449,296,10,2b6e8,0,2,28aa8,0,2,f493a,0,1,4cf22,0,1,a37b2,5,1
140,481,346,8,303c2,0,2,436f0,0,1,4bf72,5,1,4bf78,0,1,18abe,0,1
141,439,291,9,28aa8,0,2,2b6e8,0,2,a37e0,0,2,f37c8,0,1,a37b2,5,1
142,530,369,8,4bf72,5,1,f37c8,0,1,a37e0,0,1,f493a,0,1,4bf78,0,1
143,395,281,8,28aa8,0,2,2b6e8,0,2,18abe,0,1,f48fe,0,1,a37b2,5,1
144,481,333,12,f4ba0,0,2,2b6e8,0,2,4bf72,5,1,44050,0,1,a37e0,0,1
145,412,300,7,28aa8,0,2,a37e0,0,1,436f0,0,1,f3a26,0,1,303c2,0,1
146,484,328,10,2b6e8,0,2,28aa8,0,2,303cc,0,1,4bf72,5,1,f493a,0,1
147,441,326,3,18abe,0,1,a37b2,5,1,a37e0,0,1,4407a,2,0,44074,2,0
148,453,304,11,28aa8,0,2,a37e0,0,2,2b6e8,0,2,4cf22,0,1,f491a,0,1
149,470,339,6,303c2,0,2,4bf78,0,1,4cf22,0,1,4bf72,5,1,f493a,0,1
150,450,299,9,2b6e8,0,2,a37e0,0,2,28aa8,0,2,f37a0,0,1,a37b2,5,1
151,516,359,5,4bf72,5,1,4bf78,0,1,f37c8,0,1,a37e0,0,1,f491a,0,1
152,424,294,8,2b6e8,0,2,28aa8,0,2,f3802,0,1,f37a0,0,1,a37b2,5,1
153,501,348,10,303c2,0,2,2b6e8,0,2,4bf78,0,1,4bf72,5,1,f493a,0,1
154,412,300,5,28aa8,0,2,18abe,0,1,a37e0,0,1,a37b2,5,1,43d5e,4,0
155,488,331,13,f4ba0,0,2,28aa8,0,2,2b6e8,0,2,44050,0,1,4bf72,5,1
156,432,316,4,303c2,0,2,a37e0,0,1,a37b2,5,1,43f36,2,0,4bf0c,1,0
157,460,312,9,28aa8,0,2,2b6e8,0,2,f493a,0,1,303cc,0,1,4bf78,0,1
158,449,327,13,f4ba0,0,2,f173e,0,1,f4abc,0,1,f494c,0,1,f493a,0,1
159,433,283,12,f4b1e,0,2,a37e0,0,2,28aa8,0,2,2b6e8,0,2,4bf72,5,1
160,478,346,12,303c2,0,2,f3802,0,2,2f83a,0,1,4bf72,5,1,4bf78,0,1
161,427,286,9,2b6e8,0,2,a37e0,0,2,28aa8,0,2,a37b2,5,1,f37c8,0,1
162,534,370,9,4bf72,5,1,f37c8,0,1,4cf22,0,1,2b6e8,0,1,a37e0,0,1
163,399,283,6,28aa8,0,2,18abe,0,1,2b6e8,0,1,a37b2,5,1,a37e0,0,1
164,496,344,10,303c2,0,3,2b6e8,0,2,a37e0,0,1,f493a,0,1,4bf78,0,1
165,419,307,3,28aa8,0,1,a37e0,0,1,a37b2,5,1,43e12,0,0,4bf0c,1,0
166,464,310,10,2b6e8,0,2,28aa8,0,2,f37c8,0,1,f491a,0,1,f37a0,0,1
167,472,347,2,a37e0,0,1,a37b2,5,1,43f48,0,0,43e2a,1,0,43f54,2,0
168,434,282,12,2b6e8,0,2,a37e0,0,2,28aa8,0,2,f37c8,0,1,4bf72,5,1
169,480,347,4,4bf72,5,1,4bf78,0,1,f491a,0,1,18abe,0,1,4bf58,0,0
170,437,292,18,f4ba0,0,4,28aa8,0,2,a37e0,0,2,2b6e8,0,2,f22be,0,1
171,518,361,5,4bf72,5,1,4bf78,0,1,18abe,0,1,f493a,0,1,a37e0,0,1
172,396,280,7,2b6e8,0,2,28aa8,0,2,18abe,0,1,a37b2,5,1,a37e0,0,1
173,500,347,9,2b6e8,0,2,303c2,0,2,4bf72,5,1,4bf78,0,1,a37e0,0,1
174,414,302,4,28aa8,0,1,18abe,0,1,a37e0,0,1,a37b2,5,1,43e2a,1,0
175,476,321,10,28aa8,0,2,2b6e8,0,2,4bf72,5,1,f37a0,0,1,a37e0,0,1
176,448,331,5,303c2,0,2,a37b2,5,1,a37e0,0,1,18abe,0,1,43f48,0,0
177,468,308,12,28aa8,0,2,a37e0,0,2,2b6e8,0,2,4bf78,0,1,f37c8,0,1
178,470,341,4,4bf78,0,1,4bf72,5,1,f493a,0,1,18abe,0,1,4cf34,4,0
179,440,291,8,2b6e8,0,2,a37e0,0,2,28aa8,0,2,4cf22,0,1,a37b2,5,1
180,516,359,7,4cf22,0,2,4bf72,5,1,4bf78,0,1,4d05e,0,1,a37e0,0,1
181,400,282,7,2b6e8,0,2,28aa8,0,2,18abe,0,1,a37b2,5,1,a37e0,0,1
182,502,349,12,303c2,0,3,2b6e8,0,2,f37c8,0,1,f493a,0,1,28aa8,0,1
183,414,302,4,28aa8,0,1,a37e0,0,1,303c2,0,1,a37b2,5,1,43e14,2,0
184,476,321,11,2b6e8,0,2,28aa8,0,2,f37c8,0,1,4bf72,5,1,4bf78,0,1
185,449,332,2,a37e0,0,1,a37b2,5,1,43e14,2,0,44074,2,0,44064,2,0
186,463,306,12,2b6e8,0,2,28aa8,0,2,a37e0,0,2,f493a,0,1,a37b2,5,1
