subPhaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
142,535,371,9,4bf72,5,1,f22be,0,1,f37c8,0,1,4cf22,0,1,a37e0,0,1
143,395,280,6,28aa8,0,2,f48fe,0,1,2b6e8,0,1,a37b2,5,1,a37e0,0,1
144,481,333,16,303c2,0,3,f4ba0,0,3,2b6e8,0,2,437fa,0,1,4bf72,5,1
145,414,301,4,28aa8,0,2,a37e0,0,1,a37b2,5,1,43e12,0,0,4cf22,0,0
146,484,328,10,2b6e8,0,2,28aa8,0,2,f4b1e,0,1,4bf72,5,1,4bf78,0,1
147,447,331,3,a37b2,5,1,a37e0,0,1,4375c,0,1,43f76,4,0,43f36,2,0
148,452,303,10,28aa8,0,2,a37e0,0,2,2b6e8,0,2,44046,0,1,a37b2,5,1
149,465,335,5,303c2,0,2,44046,0,1,4bf78,0,1,4bf72,5,1,4cf22,0,0
150,451,300,9,2b6e8,0,2,a37e0,0,2,28aa8,0,2,f37a0,0,1,a37b2,5,1
151,516,359,5,4bf72,5,1,4bf78,0,1,44046,0,1,a37e0,0,1,f37c8,0,1
152,421,292,8,2b6e8,0,2,28aa8,0,2,f37a0,0,1,a37b2,5,1,18abe,0,1
153,491,341,11,303c2,0,2,2b6e8,0,2,f4b1e,0,2,a37e0,0,1,f4abc,0,1
154,412,300,7,28aa8,0,2,a37b2,5,1,437fa,0,1,f4b1e,0,1,a37e0,0,1
