Hist,count
3f7f0,1
3f7ee,1
3f7eb,1
3f7d9,1
3f7d0,1
3f7c2,1
3ff95,1
3ffbc,1
b5b,1
c86,1
3ffb7,1
3ffb6,1
dfb,1
3ffb1,1
3ff9d,1
ef0,1
b5a,1
3ff8f,1
efd,1
3ff7e,1
fc0,1
3ff7c,1
fef,1
3ff78,1
3ff77,1
3ff76,1
2d6,1
0,1
7,1
f,1
3fff6,1
7f,1
3fff2,1
3ffee,1
1fe,1
3ffea,1
3ff72,1
3ffe6,1
3fd,1
5ad,1
707,1
7fc,1
3ffcb,1
3ffc4,1
a80,1
3fe10,1
3fec0,1
3feb1,1
3feab,1
3fea1,1
1d89,1
3fe7d,1
3fe7c,1
1df5,1
3fe1f,1
1c2f,1
3fe0d,1
3fe06,1
1ec1,1
1f3f,1
3fdf7,1
3fdf1,1
3fdf0,1
3fde0,1
3fefc,1
3ff6f,1
ff7,1
3ff6a,1
3ff3f,1
3ff2f,1
3ff1b,1
3ff06,1
103f,1
160f,1
3f3df,1
16b7,1
1b13,1
3fef6,1
1be2,1
3fef0,1
1c14,1
3fed9,1
3fed6,1
3defa,1
3dfc1,1
3dfc0,1
3dfbc,1
3df8f,1
3df7f,1
3df55,1
3df17,1
3df15,1
3df0b,1
3dfcf,1
3def0,1
3deb9,1
3de2f,1
3de14,1
3de0f,1
436d,1
3dc44,1
3dc15,1
3dc0f,1
3e068,1
3e3f2,1
3e3bf,1
3e36f,1
3e355,1
3e2ff,1
3e2a9,1
3e255,1
3e07e,1
3e077,1
3dc0a,1
3e055,1
3e03f,1
4297,1
3dffc,1
3dff5,1
3dff0,1
3dfef,1
3dfdd,1
3cc99,1
3d02a,1
3d021,1
3cfff,1
3cfdc,1
3cf49,1
3cec4,1
3ce5e,1
3cd55,1
3cd11,1
3d070,1
3cbeb,1
3ca5e,1
3c7e5,1
3c7cf,1
3c6e7,1
3c486,1
3c444,1
3c3f3,1
3d7a0,1
3dc07,1
3db7f,1
3db2f,1
3daff,1
3dae5,1
3dad0,1
444d,1
3d7e8,1
3d7a1,1
3e52f,1
3d77b,1
3d69f,1
3d686,1
3d555,1
3d2fa,1
3d2a8,1
3d1c5,1
3d0e5,1
3ef5c,1
3efe0,1
3bea,1
3c0f,1
3ef9f,1
3ef9b,1
3ef8b,1
3ef80,1
3ef7f,1
3ef78,1
3efe5,1
3ef5a,1
3ef35,1
3e04,1
3eeee,1
3eec1,1
3e35,1
3e3f,1
3ee5f,1
3ee0f,1
3f03d,1
3f3db,1
3f3d2,1
3f3c0,1
3f2be,1
3f2b3,1
3f1f9,1
3f1e0,1
3f156,1
3f07e,1
3ee0d,1
3f03b,1
3f034,1
3bb7,1
3bdc,1
3effd,1
3bdf,1
3eff0,1
3efe7,1
3e7b6,1
3e861,1
3e815,1
3e810,1
3e80e,1
4186,1
3e7ee,1
3e7e5,1
3e7d5,1
3e7c9,1
3e954,1
3e78f,1
4201,1
3e6fd,1
3e6f4,1
3e5f5,1
3e57f,1
3e566,1
3e555,1
3fdf,1
3f7e,1
3edf0,1
3eddb,1
3fbd,1
3ed72,1
3ed68,1
3ed5f,1
3ecec,1
3ec7f,1
3c3e7,1
3ebfe,1
3ebeb,1
3ebd1,1
3ff8,1
3eb4f,1
3eb12,1
3eab9,1
3eaa9,1
1ebff,1
1f249,1
1f157,1
1efe0,1
1efde,1
1efbe,1
1efb7,1
1ef8a,1
1ee0a,1
1ee07,1
1edbf,1
1f2e4,1
1ebd1,1
1ebd0,1
1eb41,1
1e870,1
1e688,1
1e681,1
1e621,1
1e52f,1
1e3fe,1
1f9e1,1
1fd01,1
1fcf4,1
1fbf7,1
1fbec,1
ef01,1
1fb83,1
1faef,1
1fad3,1
1faa7,1
1e3d5,1
ef73,1
ef7d,1
efa9,1
efff,1
1f6ff,1
1f676,1
1f53f,1
1f4af,1
1f3f7,1
1cbff,1
1dc55,1
1dc02,1
1d805,1
1d7c6,1
1d77b,1
1d0ee,1
1cfd5,1
1cf1b,1
1cf0c,1
1cf02,1
1dcde,1
1cafa,1
1c447,1
1c3ef,1
1c077,1
f07b,1
1bffc,1
1bf83,1
1bf81,1
1bf7d,1
1df4e,1
1e325,1
1e1f3,1
1e1d9,1
1e144,1
1e0f7,1
1e0c6,1
f023,1
1e07e,1
1dffe,1
1fd55,1
1df15,1
1defb,1
1de03,1
f063,1
1dddf,1
1dddc,1
1dddb,1
f066,1
1ddbb,1
21c29,1
2231d,1
2226d,1
2226b,1
d6df,1
2221b,1
221b6,1
21def,1
21d93,1
21caf,1
21c63,1
2231e,1
219cf,1
dae5,1
21955,1
21841,1
21065,1
20f87,1
20f5f,1
20eff,1
20ec4,1
23253,1
23e5f,1
23d55,1
cf19,1
23955,1
d555,1
238c3,1
238ab,1
237bd,1
2351b,1
20e0b,1
22ffe,1
22aef,1
22aab,1
2276f,1
d55b,1
226db,1
226b7,1
2257f,1
22555,1
edf1,1
1ffee,1
ec4d,1
1ffaa,1
1ffa1,1
ec4f,1
1ff7e,1
1ff79,1
1ff6b,1
1ff55,1
e395,1
edff,1
1fefe,1
eeb1,1
1fed7,1
1fe7f,1
1fe0f,1
1fdfd,1
1fdf2,1
1fdef,1
203fe,1
20abf,1
20872,1
207e5,1
20781,1
2070f,1
206c4,1
20540,1
20420,1
def5,1
1bf3c,1
203f7,1
203ba,1
20383,1
2037c,1
201bf,1
dffe,1
e0a0,1
e0f1,1
1fff5,1
144af,1
153e3,1
fdfb,1
15186,1
1506f,1
14ffd,1
14fc0,1
feff,1
14f07,1
14f01,1
14bef,1
153f0,1
13ffc,1
13feb,1
13fdd,1
13fc5,1
13f03,1
13e51,1
13c3b,1
13c37,1
137bf,1
1557e,1
155f5,1
155ef,1
155e8,1
155d5,1
155bf,1
155be,1
155bd,1
1559e,1
fbf6,1
13335,1
1557a,1
15556,1
fd7f,1
15554,1
15553,1
1554c,1
15531,1
fdc0,1
153ff,1
1017f,1
1111d,1
11113,1
fffe,1
10150,1
110db,1
10efa,1
10ef7,1
10eee,1
10c95,1
11136,1
107c3,1
101be,1
10705,1
10655,1
103f7,1
103bf,1
102fe,1
10210,1
10207,1
12499,1
12fef,1
12fa5,1
12f7e,1
12bff,1
12bd0,1
ff4b,1
125ff,1
