policy,set,victims
lru,916,57
lru,917,58
lru,918,58
lru,919,57
lru,920,56
lru,921,57
lru,922,56
lru,923,56
lru,924,57
lru,925,58
lru,926,58
lru,927,58
lru,928,57
lru,929,57
lru,930,56
lru,931,58
lru,932,56
lru,933,58
lru,934,56
lru,935,57
lru,936,58
lru,937,57
lru,938,57
lru,939,57
lru,940,57
lru,941,57
lru,942,56
lru,943,59
lru,944,60
lru,945,61
lru,946,60
lru,947,60
lru,948,60
lru,949,60
lru,950,59
lru,951,59
lru,952,59
lru,953,59
lru,954,59
lru,955,59
lru,956,59
lru,957,59
lru,958,59
lru,959,60
lru,960,60
lru,961,59
lru,962,59
lru,963,58
lru,964,58
lru,965,58
lru,966,58
lru,967,58
lru,968,58
lru,969,58
lru,970,58
lru,971,58
lru,972,58
lru,973,58
lru,974,60
lru,975,58
lru,976,58
lru,977,58
lru,978,58
lru,979,58
lru,980,57
lru,981,60
lru,982,60
lru,983,59
lru,984,59
lru,985,58
lru,986,58
lru,987,58
lru,988,58
lru,989,58
lru,990,55
lru,991,58
lru,992,58
lru,993,58
lru,994,58
lru,995,59
lru,996,61
lru,997,60
lru,998,58
lru,999,60
lru,1000,60
lru,1001,61
lru,1002,59
lru,1003,59
lru,1004,60
lru,1005,60
lru,1006,58
lru,1007,58
lru,1008,60
lru,1009,59
lru,1010,58
lru,1011,58
lru,1012,59
lru,1013,58
lru,1014,59
lru,1015,59
lru,1016,60
lru,1017,61
lru,1018,60
lru,1019,59
lru,1020,58
lru,1021,61
lru,1022,60
lru,1023,61
random,0,59
random,1,59
random,2,57
random,3,58
random,4,58
random,5,58
random,6,58
random,7,58
random,8,59
random,9,58
random,10,57
random,11,56
random,12,56
random,13,58
random,14,59
random,15,58
random,16,60
random,17,58
random,18,58
random,19,57
random,20,58
random,21,58
random,22,59
random,23,59
random,24,59
random,25,59
random,26,58
random,27,58
random,28,59
random,29,59
random,30,64
random,31,60
random,32,57
random,33,58
random,34,58
random,35,60
random,36,59
random,37,59
random,38,58
random,39,59
random,40,63
random,41,64
random,42,65
random,43,62
random,44,65
random,45,63
random,46,60
random,47,59
random,48,60
random,49,62
random,50,61
random,51,62
random,52,61
random,53,60
random,54,61
random,55,61
random,56,61
random,57,60
random,58,61
random,59,58
random,60,58
random,61,58
random,62,58
random,63,57
random,64,57
random,65,56
random,66,60
random,67,59
random,68,57
random,69,59
random,70,60
random,71,58
random,72,59
random,73,60
random,74,58
random,75,57
random,76,53
random,77,55
random,78,57
random,79,55
random,80,57
random,81,58
random,82,57
random,83,57
random,84,59
random,85,62
random,86,60
random,87,56
random,88,58
random,89,59
random,90,60
random,91,59
random,92,60
random,93,62
random,94,58
random,95,57
random,96,57
random,97,59
random,98,59
random,99,59
random,100,58
random,101,59
random,102,60
random,103,60
random,104,57
random,105,58
random,106,62
random,107,61
random,108,60
random,109,59
random,110,59
random,111,60
random,112,59
random,113,59
random,114,59
random,115,58
random,116,57
random,117,59
random,118,59
random,119,61
random,120,57
random,121,59
random,122,58
random,123,58
random,124,57
random,125,59
random,126,59
random,127,56
random,128,60
random,129,61
random,130,60
random,131,59
random,132,60
random,133,59
random,134,61
random,135,60
random,136,60
random,137,60
random,138,60
random,139,60
random,140,58
random,141,59
random,142,59
random,143,55
random,144,59
random,145,58
random,146,60
random,147,59
random,148,60
random,149,60
random,150,57
random,151,59
random,152,59
