schema_version,profiler_name,sample_index,tick,retired_macro_insts,pc,stack_depth,stack_addresses
1,system.guest_stack_profilers1,1296,3018270990,1296000,0xc8f38,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f38
1,system.guest_stack_profilers1,1297,3018349290,1297000,0xc9c2c,11,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc9c2c
1,system.guest_stack_profilers1,1298,3018426285,1298000,0xc8eec,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8eec
1,system.guest_stack_profilers1,1299,3018505020,1299000,0xc8f18,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f18
1,system.guest_stack_profilers1,1300,3018578970,1300000,0xc8b0e,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b0e
1,system.guest_stack_profilers1,1301,3018656400,1301000,0xc8a9c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a9c
1,system.guest_stack_profilers1,1302,3018733395,1302000,0xc8f24,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f24
1,system.guest_stack_profilers1,1303,3018811260,1303000,0xc8b0a,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b0a
1,system.guest_stack_profilers1,1304,3018887820,1304000,0xc8b30,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b30
1,system.guest_stack_profilers1,1305,3019496385,1305000,0xc8a2c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a2c
1,system.guest_stack_profilers1,1306,3019733460,1306000,0xc8aba,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8aba
1,system.guest_stack_profilers1,1307,3019979235,1307000,0xc8a36,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a36
1,system.guest_stack_profilers1,1308,3020325495,1308000,0xc8f22,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f22
1,system.guest_stack_profilers1,1309,3021115455,1309000,0xc8b12,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b12
1,system.guest_stack_profilers1,1310,3022661880,1310000,0xc8efe,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8efe
1,system.guest_stack_profilers1,1311,3022939410,1311000,0xc8ee8,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8ee8
1,system.guest_stack_profilers1,1312,3023791140,1312000,0xc9c18,11,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc9c18
1,system.guest_stack_profilers1,1313,3024258330,1313000,0xc8ab8,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8ab8
1,system.guest_stack_profilers1,1314,3025060470,1314000,0xc8b2c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b2c
1,system.guest_stack_profilers1,1315,3025139205,1315000,0xc8f2c,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f2c
1,system.guest_stack_profilers1,1316,3025217940,1316000,0xc9c14,11,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc9c14
1,system.guest_stack_profilers1,1317,3025311030,1317000,0xc8ed6,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8ed6
1,system.guest_stack_profilers1,1318,3025727325,1318000,0xc9c20,11,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc9c20
1,system.guest_stack_profilers1,1319,3026223660,1319000,0xc8f2a,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f2a
1,system.guest_stack_profilers1,1320,3027209805,1320000,0xc8b0a,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b0a
1,system.guest_stack_profilers1,1321,3027462975,1321000,0xc8a50,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a50
1,system.guest_stack_profilers1,1322,3027540405,1322000,0xc8b2c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b2c
1,system.guest_stack_profilers1,1323,3027853170,1323000,0xc8b1c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b1c
1,system.guest_stack_profilers1,1324,3028179855,1324000,0xc8a34,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a34
1,system.guest_stack_profilers1,1325,3028456950,1325000,0xc8a30,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a30
1,system.guest_stack_profilers1,1326,3029107275,1326000,0xc8b28,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b28
1,system.guest_stack_profilers1,1327,3029182965,1327000,0xc8ab4,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8ab4
1,system.guest_stack_profilers1,1328,3030151275,1328000,0xc8a4c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a4c
1,system.guest_stack_profilers1,1329,3030757230,1329000,0xc8f16,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f16
1,system.guest_stack_profilers1,1330,3031003440,1330000,0xc8f5a,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f5a
1,system.guest_stack_profilers1,1331,3032030910,1331000,0xc9c0a,11,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc9c0a
1,system.guest_stack_profilers1,1332,3032739960,1332000,0xc8ab8,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8ab8
1,system.guest_stack_profilers1,1333,3033215850,1333000,0xc8a4e,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a4e
1,system.guest_stack_profilers1,1334,3034388175,1334000,0xc8aa2,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8aa2
1,system.guest_stack_profilers1,1335,3034705290,1335000,0xc8a50,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a50
